DrawNumber,drawing_date,ball1,ball2,ball3,ball4,ball5,powerball,5 + Powerball Count,5 + Powerball Amount,5 Count,5 Amount,4 + Powerball Count,4 + Powerball Amount,4 Count,4 Amount,3 + Powerball Count,3 + Powerball Amount,3 Count,3 Amount,2 + Powerball Count,2 + Powerball Amount,1 + Powerball Count,1 + Powerball Amount,0 + Powerball Count,0 + Powerball Amount
1543,2025-11-29T08:00:00,19,22,30,32,59,1,0,719000000,0,280948,4,17980,92,390,215,173,5410,7,4410,9,34163,5,81689,4
1542,2025-11-26T08:00:00,7,8,15,19,28,3,0,681000000,1,979462,4,13891,116,239,256,112,6358,5,4385,7,29035,4,64250,4
1541,2025-11-24T08:00:00,8,16,26,30,58,14,0,654000000,0,762413,1,44902,58,387,164,142,3793,7,2949,8,22198,5,52578,4
1540,2025-11-22T08:00:00,28,32,36,51,69,2,0,629000000,0,587015,2,55825,60,551,192,178,4945,8,4040,9,30680,5,76260,4
1539,2025-11-19T08:00:00,10,31,49,51,68,19,0,593000000,0,328643,0,45507,50,455,127,186,3286,8,2807,9,21900,5,54714,4
1538,2025-11-17T08:00:00,7,33,50,57,66,23,0,570000000,0,150879,1,38625,47,410,116,173,2944,7,2408,9,18683,5,44962,4
1537,2025-11-15T08:00:00,6,7,12,47,53,21,0,546000000,2,609497,2,30798,83,371,212,150,5436,6,4119,8,29931,5,68987,4
1536,2025-11-12T08:00:00,29,39,43,51,65,23,0,512000000,0,978382,1,43669,57,383,130,174,3053,8,2494,9,20204,5,50656,4
1535,2025-11-10T08:00:00,6,28,44,48,58,23,0,490000000,0,807800,2,17826,48,371,119,155,2857,7,2144,9,16908,5,41059,4
1534,2025-11-08T08:00:00,3,53,60,62,68,11,0,467000000,0,668527,2,44546,61,439,161,173,3871,8,3187,9,26285,5,66972,3
1533,2025-11-05T08:00:00,9,17,29,61,66,26,0,438000000,0,458899,0,35428,34,520,71,259,2817,7,2289,8,16873,5,40035,4
1532,2025-11-03T08:00:00,3,32,40,43,57,18,0,419000000,0,320507,2,16050,25,641,100,166,2381,8,1952,9,15610,5,38526,4
1531,2025-11-01T07:00:00,2,26,43,44,62,22,0,400000000,0,195116,2,40699,53,471,150,173,3734,8,3157,8,23945,5,57472,4
1530,2025-10-29T07:00:00,4,24,49,60,65,1,0,376000000,1,1840664,0,31448,28,561,99,165,2203,8,1774,10,14309,5,35191,4
1529,2025-10-27T07:00:00,17,39,43,51,66,20,0,358000000,0,1717819,1,29430,29,507,76,201,2027,8,1683,9,13576,5,33954,4
1528,2025-10-25T07:00:00,2,12,22,39,67,15,0,344000000,0,1602856,2,37940,68,330,125,187,3865,6,2991,8,22450,5,52896,4
1527,2025-10-22T07:00:00,18,37,52,54,60,12,0,320000000,0,1427038,0,30870,30,514,91,176,2092,8,1776,9,14877,5,38060,4
1526,2025-10-20T07:00:00,32,38,66,67,69,19,0,304000000,0,1306451,3,9310,30,465,83,174,2045,8,1591,9,12657,5,33746,4
