drawing_date,ball1,ball2,ball3,ball4,ball5,starball,bonus,jackpot
2025-01-01,1,2,8,14,30,6,3,19620000
2025-01-04,1,3,17,21,34,4,3,20180000
2025-01-06,15,34,45,50,51,8,5,20370000
2025-01-08,4,15,33,39,41,7,2,20600000
2025-01-11,7,10,16,47,52,1,5,21300000
2025-01-15,2,11,28,40,47,3,2,21740000
2025-01-18,16,28,41,47,52,3,4,21780000
2025-01-20,2,4,22,23,32,5,3,22070000
2025-01-22,8,16,27,32,43,4,3,22120000
2025-01-25,8,31,35,44,46,10,2,22440000
2025-01-27,3,7,21,33,45,2,4,22650000
2025-01-29,9,20,23,42,45,2,2,22890000
2025-02-01,14,15,21,35,52,6,3,22920000
2025-02-03,10,33,35,49,51,3,2,23240000
2025-02-05,4,13,17,44,45,5,2,23290000
2025-02-08,2,5,6,30,50,6,3,23340000
2025-02-10,7,10,13,31,50,5,3,23570000
2025-02-12,6,16,23,27,30,1,2,23620000
2025-02-15,17,29,39,41,52,3,3,23790000
2025-02-17,20,22,24,37,48,5,4,23990000
2025-02-19,3,22,23,35,41,2,3,24190000
2025-02-22,3,24,26,34,35,6,2,24710000
2025-02-24,1,21,30,35,41,3,3,24920000
2025-02-26,8,11,21,27,39,5,3,25150000
2025-03-01,8,9,13,33,41,6,3,25160000
2025-03-03,12,25,29,40,49,3,2,25460000
2025-03-05,10,15,23,35,41,4,2,25510000
2025-03-08,1,30,31,36,43,9,2,25560000
2025-03-10,13,15,34,36,39,10,2,25700000
2025-03-12,4,17,21,28,48,4,3,25920000
2025-03-15,16,39,41,44,51,7,3,26360000
2025-03-17,11,12,20,29,33,8,5,26560000
2025-03-19,4,8,26,34,36,6,2,26780000
2025-03-22,6,21,43,47,52,3,2,26820000
2025-03-24,14,34,35,40,44,4,3,27110000
2025-03-26,16,19,30,37,47,6,2,27210000
2025-03-29,2,21,33,46,52,8,3,27990000
2025-03-31,11,24,33,38,47,1,2,28210000
2025-04-02,12,28,39,41,44,1,3,28460000
2025-04-05,17,26,37,40,51,9,4,28460000
2025-04-07,4,8,13,27,37,7,4,28770000
2025-04-09,12,19,30,42,46,7,2,28820000
2025-04-12,16,24,42,50,52,8,2,30600000
2025-04-14,7,10,13,21,42,10,2,30840000
2025-04-16,2,5,45,47,48,8,2,31110000
2025-04-19,4,11,23,29,36,9,3,31120000
2025-04-21,2,4,13,21,44,8,3,31450000
2025-04-23,18,24,34,40,42,8,3,31500000
2025-04-26,1,9,14,31,34,2,4,31550000
