drawing_date,ball1,ball2,ball3,ball4,ball5,powerball,multiplier,jackpot,estimated_cash_value
2024-01-01,12,21,42,44,49,1,3,842400000,406963440
2024-01-03,30,31,38,48,68,8,10,20000000,9662000
2024-01-06,4,31,34,38,61,13,2,35000000,16908500
2024-01-08,7,17,28,40,45,2,3,46000000,22222600
2024-01-10,25,40,43,48,50,11,2,60000000,28986000
2024-01-13,13,31,33,51,58,15,2,77000000,37198700
2024-01-15,13,30,35,49,59,4,3,88000000,42512800
2024-01-17,18,22,43,61,65,2,4,102000000,49276200
2024-01-20,16,31,34,47,65,10,3,120000000,57972000
2024-01-22,24,25,43,52,63,21,2,133000000,64252300
2024-01-24,1,5,32,50,64,8,4,145000000,70049500
2024-01-27,7,38,65,66,68,21,2,164000000,79228400
2024-01-29,39,41,43,49,64,4,2,174000000,84059400
2024-01-31,15,18,19,41,43,14,2,188000000,90822800
2024-02-03,9,11,27,59,66,19,3,206000000,99518600
2024-02-05,1,2,27,30,67,9,5,214000000,103383400
2024-02-07,12,21,62,67,69,17,3,228000000,110146800
2024-02-10,27,28,34,37,44,8,2,248000000,119808800
2024-02-12,17,36,43,53,67,14,2,270000000,130437000
2024-02-14,1,4,45,47,67,18,2,285000000,137683500
2024-02-17,6,28,59,62,69,21,3,306000000,147828600
2024-02-19,4,23,45,50,53,17,3,330000000,159423000
2024-02-21,4,27,33,41,42,14,2,348000000,168118800
2024-02-24,3,8,40,53,58,3,3,376000000,181645600
2024-02-26,24,29,42,51,54,16,3,391000000,188892100
2024-02-28,16,26,29,38,50,6,2,412000000,199037200
2024-03-02,3,18,27,36,53,12,2,443000000,214013300
2024-03-04,36,42,50,52,67,26,2,460000000,222226000
2024-03-06,6,19,28,44,60,10,2,485000000,234303500
2024-03-09,30,36,49,52,63,16,5,521000000,251695100
2024-03-11,1,3,7,16,66,5,5,532000000,257009200
2024-03-13,21,29,54,59,62,4,2,559000000,270052900
2024-03-16,12,23,44,57,61,5,2,600000000,289860000
2024-03-18,10,17,20,39,44,16,3,645000000,311599500
2024-03-20,13,22,27,54,66,9,2,687000000,331889700
2024-03-23,6,23,25,34,51,3,2,750000000,362325000
2024-03-25,7,11,19,53,68,23,2,800000000,386480000
2024-03-27,37,46,57,60,66,8,2,865000000,417881500
2024-03-30,12,13,33,50,52,23,3,935000000,451698500
2024-04-01,19,24,40,42,56,23,2,1000000000,483100000
2024-04-03,11,38,41,62,65,15,3,1090000000,526579000
2024-04-06,22,27,44,52,69,9,3,1300000000,628030000
2024-04-08,6,21,23,39,54,23,2,20000000,9662000
2024-04-10,6,7,12,24,36,15,2,31000000,14976100
2024-04-13,7,33,40,43,69,10,5,46000000,22222600
2024-04-15,7,16,41,56,61,23,3,63000000,30435300
2024-04-17,24,29,44,47,54,2,2,78000000,37681800
2024-04-20,4,35,41,44,58,25,3,98000000,47343800
2024-04-22,12,16,33,39,52,1,2,115000000,55556500
2024-04-24,2,20,22,26,47,21,4,129000000,62319900
2024-04-27,9,30,53,55,62,23,3,149000000,71981900
2024-04-29,11,38,47,67,69,14,2,164000000,79228400
2024-05-01,1,11,19,21,68,15,2,178000000,85991800
2024-05-04,14,20,23,53,69,4,2,203000000,98069300
2024-05-06,7,23,24,56,60,25,2,214900000,103818190
2024-05-08,7,41,43,44,51,5,2,20000000,9662000
2024-05-11,3,6,39,49,67,21,2,36000000,17391600
2024-05-13,5,14,29,38,66,1,2,47000000,22705700
